Hora,Liga,Local,Visitante,ODDS,Mercado,Marcador_HT,Marcador_FT,Corners_total,Estado,Prob_Modelo,Prob_Historico
2025-12-01 08:00,Portugal LigaPro,Paços de Ferreira,Felgueiras 1932,1.92,BTTS YES,0-1,1-1,6,VERDE,62.0,62.0
2025-12-01 11:00,Croatia Prva HNL,Gorica,Dinamo Zagreb,1.76,BTTS YES,0-1,0-2,7,ROJO,65.0,65.0
2025-12-01 12:00,Poland Ekstraklasa,Motor Lublin,Legia Warszawa,1.58,BTTS YES,1-1,1-1,6,VERDE,67.0,67.0
2025-12-01 14:00,England Championship,Birmingham City,Watford,1.88,BTTS YES,2-0,2-1,12,VERDE,60.0,60.0
2025-12-01 08:00,Portugal LigaPro,Paços de Ferreira,Felgueiras 1932,1.44,GOL HT,0-1,1-1,6,VERDE,70.0,75.0
2025-12-01 11:00,Turkey Süper Lig,Fenerbahçe,Galatasaray,1.3,GOL HT,0-1,1-1,10,VERDE,83.0,85.0
2025-12-01 12:00,Poland Ekstraklasa,Motor Lublin,Legia Warszawa,1.32,GOL HT,1-1,1-1,6,VERDE,70.0,78.0
2025-12-01 14:00,England Championship,Birmingham City,Watford,1.4,GOL HT,2-0,2-1,12,VERDE,75.0,75.0
2025-12-01 08:00,Portugal LigaPro,Paços de Ferreira,Felgueiras 1932,1.37,OVER 1.5,0-1,1-1,6,VERDE,90.0,81.0
2025-12-01 11:00,Turkey Süper Lig,Fenerbahçe,Galatasaray,1.22,OVER 1.5,0-1,1-1,10,VERDE,75.0,92.0
2025-12-01 11:00,Croatia Prva HNL,Gorica,Dinamo Zagreb,1.2,OVER 1.5,0-1,0-2,7,VERDE,81.0,85.0
2025-12-01 12:00,Poland Ekstraklasa,Motor Lublin,Legia Warszawa,1.2,OVER 1.5,1-1,1-1,6,VERDE,74.0,86.0
2025-12-01 11:00,Turkey Süper Lig,Fenerbahçe,Galatasaray,,Team Over 1.5,0-1,1-1,10,ROJO,,
2025-12-02 07:30,Netherlands Eredivisie,Ajax,Groningen,1.64,BTTS YES,1-0,2-0,8,ROJO,68.0,68.0
2025-12-02 07:30,Netherlands Eredivisie,Ajax,Groningen,1.3,GOL HT,1-0,2-0,8,VERDE,84.0,79.0
2025-12-02 10:00,Bulgaria First League,Arda,Botev Plovdiv,1.58,GOL HT,0-0,0-0,14,ROJO,83.0,72.0
2025-12-02 07:30,Netherlands Eredivisie,Ajax,Groningen,1.2,OVER 1.5,1-0,2-0,8,VERDE,92.0,86.0
2025-12-02 10:00,Bulgaria First League,Arda,Botev Plovdiv,1.48,OVER 1.5,0-0,0-0,14,ROJO,78.0,78.0
2025-12-02 16:00,,Vasco da Gama,Mirassol,1.28,OVER 1.5,0-0,0-2,11,VERDE,81.0,80.0
2025-12-02 14:00,Spain La Liga,FC Barcelona,Atlético Madrid,,Team Over 1.5,1-1,3-1,9,VERDE,,
2025-12-03 10:00,Bulgaria First League,CSKA Sofia,Lokomotiv Plovdiv,1.98,BTTS YES,1-0,2-1,4,VERDE,68.0,68.0
2025-12-03 10:00,Bulgaria First League,CSKA Sofia,Lokomotiv Plovdiv,1.38,GOL HT,1-0,2-1,4,VERDE,82.0,81.0
2025-12-03 13:30,England Premier League,Arsenal,Brentford,1.37,GOL HT,1-0,2-0,12,VERDE,92.0,74.0
2025-12-03 21:10,Mexico Liga MX,Monterrey,Toluca,1.31,GOL HT,1-0,1-0,10,VERDE,87.0,78.0
2025-12-03 10:00,Bulgaria First League,CSKA Sofia,Lokomotiv Plovdiv,1.33,OVER 1.5,1-0,2-1,4,VERDE,76.0,89.0
2025-12-03 16:00,,Fortaleza,Corinthians,1.45,OVER 1.5,1-0,2-1,7,VERDE,70.0,73.0
2025-12-03 19:00,Mexico Liga MX,Cruz Azul,Tigres UANL,1.28,OVER 1.5,0-0,1-1,7,VERDE,79.0,89.0
2025-12-03 10:00,Bulgaria First League,CSKA Sofia,Lokomotiv Plovdiv,,Team Over 1.5,1-0,2-1,4,VERDE,,
2025-12-03 12:00,Spain La Liga,Athletic Club Bilbao,Real Madrid,,Team Over 1.5,0-2,0-3,12,VERDE,,
2025-12-04 10:00,Bulgaria First League,Slavia Sofia,Levski Sofia,1.38,GOL HT,2-0,2-0,7,VERDE,71.0,81.0
2025-12-04 10:00,Bulgaria First League,Slavia Sofia,Levski Sofia,1.27,OVER 1.5,2-0,2-0,7,VERDE,71.0,88.0
2025-12-04 10:00,Bulgaria First League,Slavia Sofia,Levski Sofia,,Team Over 1.5,2-0,2-0,7,ROJO,,
2025-12-05 11:00,Croatia Prva HNL,Slaven Koprivnica,Gorica,1.79,BTTS YES,1-1,2-1,6,VERDE,64.0,64.0
2025-12-05 11:00,Turkey Süper Lig,Galatasaray,Samsunspor,1.66,BTTS YES,2-0,3-2,4,VERDE,65.0,66.0
2025-12-05 13:00,Netherlands Eerste Divisie,ADO Den Haag,Emmen,1.72,BTTS YES,1-1,2-1,14,VERDE,71.0,71.0
2025-12-05 13:30,Poland Ekstraklasa,Lechia Gdańsk,Górnik Zabrze,1.57,BTTS YES,3-2,5-2,9,VERDE,68.0,68.0
2025-12-05 11:00,Croatia Prva HNL,Slaven Koprivnica,Gorica,1.41,GOL HT,1-1,2-1,6,VERDE,77.0,77.0
2025-12-05 11:00,Czech Republic First League,Teplice,Slavia Praha,1.41,GOL HT,0-0,1-2,8,ROJO,75.0,74.0
2025-12-05 11:00,Turkey Süper Lig,Galatasaray,Samsunspor,1.27,GOL HT,2-0,3-2,4,VERDE,77.0,80.0
2025-12-05 13:30,Poland Ekstraklasa,Lechia Gdańsk,Górnik Zabrze,1.33,GOL HT,3-2,5-2,9,VERDE,77.0,80.0
2025-12-05 11:00,Croatia Prva HNL,Slaven Koprivnica,Gorica,1.29,OVER 1.5,1-1,2-1,6,VERDE,85.0,83.0
2025-12-05 13:30,Poland Ekstraklasa,Lechia Gdańsk,Górnik Zabrze,1.21,OVER 1.5,3-2,5-2,9,VERDE,85.0,87.0
2025-12-05 13:00,Netherlands Eerste Divisie,ADO Den Haag,Emmen,,Team Over 1.5,1-1,2-1,14,VERDE,,
2025-12-05 11:00,Turkey Süper Lig,Galatasaray,Samsunspor,,Team Over 1.5,2-0,3-2,4,VERDE,,
2025-12-05 13:00,Netherlands Eerste Divisie,Almere City,Ajax II,,Team Over 1.5,1-0,3-2,15,VERDE,,
2025-12-06 06:00,Germany 2. Bundesliga,Kaiserslautern,Dynamo Dresden,1.31,GOL HT,1-0,3-1,10,VERDE,86.0,80.0
2025-12-06 06:00,Germany 2. Bundesliga,Paderborn,Elversberg,1.3,GOL HT,0-1,1-2,13,VERDE,79.0,79.0
2025-12-06 06:00,Germany 2. Bundesliga,Bochum,Arminia Bielefeld,1.3,GOL HT,0-0,1-0,9,ROJO,75.0,79.0
2025-12-06 08:00,Croatia Prva HNL,Dinamo Zagreb,Hajduk Split,1.38,GOL HT,0-0,1-1,10,ROJO,86.0,81.0
2025-12-06 08:00,Czech Republic First League,Slovácko,Viktoria Plzeň,1.33,GOL HT,2-0,3-0,6,VERDE,76.0,78.0
2025-12-06 09:00,England Championship,Ipswich Town,Coventry City,1.33,GOL HT,1-0,3-0,7,VERDE,73.0,82.0
2025-12-06 06:00,Germany 2. Bundesliga,Paderborn,Elversberg,1.23,OVER 1.5,0-1,1-2,13,VERDE,86.0,86.0
2025-12-06 07:00,Spain La Liga,Villarreal,Getafe CF,1.35,OVER 1.5,1-0,2-0,8,VERDE,79.0,81.0
2025-12-06 08:00,Croatia Prva HNL,Dinamo Zagreb,Hajduk Split,1.33,OVER 1.5,0-0,1-1,10,VERDE,86.0,88.0
2025-12-06 08:00,Czech Republic First League,Dukla Praha,Slovan Liberec,1.36,OVER 1.5,1-0,1-1,14,VERDE,82.0,79.0
2025-12-06 09:00,Romania Liga I,Csikszereda,Argeș,1.46,OVER 1.5,0-1,0-2,6,VERDE,84.0,77.0
2025-12-06 09:00,England Premier League,Everton,Nottingham Forest,1.36,OVER 1.5,2-0,3-0,9,VERDE,86.0,77.0
2025-12-06 10:30,Poland Ekstraklasa,Zagłębie Lubin,Widzew Łódź,1.28,OVER 1.5,0-1,2-1,7,VERDE,82.0,80.0
2025-12-06 11:15,Belgium Pro League,Union Saint-Gilloise,KAA Gent,1.2,OVER 1.5,0-1,1-1,8,VERDE,88.0,86.0
2025-12-06 12:00,Portugal LigaPro,Benfica II,UD Oliveirense,1.24,OVER 1.5,1-0,2-0,15,VERDE,70.0,85.0
2025-12-06 21:10,Mexico Liga MX,Tigres UANL,Cruz Azul,1.26,OVER 1.5,1-0,1-1,13,VERDE,80.0,88.0
2025-12-06 14:05,France Ligue 1,PSG,Rennes,,Team Over 1.5,2-0,5-0,14,VERDE,,
2025-12-06 13:30,,Inter Miami,Vancouver Whitecaps,,Team Over 1.5,1-0,3-1,2,VERDE,,
2025-12-06 11:30,Spain La Liga,Real Betis,FC Barcelona,,Team Over 1.5,1-4,3-5,14,VERDE,,
2025-12-06 08:30,Germany Bundesliga,Stuttgart,Bayern München,,Team Over 1.5,0-1,0-5,7,VERDE,,
2025-12-06 11:00,Italy Serie A,Inter Milan,Como,,Team Over 1.5,1-0,4-0,11,VERDE,,
2025-12-06 14:00,Netherlands Eredivisie,Feyenoord,PEC Zwolle,,Team Over 1.5,4-0,6-1,12,VERDE,,
2025-12-07 08:00,Portugal LigaPro,CD Feirense,Academico Viseu,1.85,BTTS YES,0-0,0-0,12,ROJO,68.0,68.0
2025-12-07 12:30,Romania Liga I,CS U Craiova,CFR Cluj,1.82,BTTS YES,1-0,1-1,11,VERDE,65.0,65.0
2025-12-07 05:15,Netherlands Eredivisie,Utrecht,Twente,1.36,GOL HT,0-0,1-1,14,ROJO,72.0,79.0
2025-12-07 11:30,Spain Segunda División,SD Eibar,Cultural y Deportiva Leonesa,1.38,GOL HT,1-1,1-2,12,VERDE,76.0,77.0
2025-12-07 11:30,Belgium Pro League,Royal Antwerp FC,KRC Genk,1.36,GOL HT,2-0,3-0,13,VERDE,82.0,77.0
2025-12-07 05:15,Netherlands Eredivisie,Utrecht,Twente,1.22,OVER 1.5,0-0,1-1,14,VERDE,71.0,86.0
2025-12-07 07:45,Poland Ekstraklasa,Cracovia Kraków,Lech Poznań,1.24,OVER 1.5,1-1,2-2,12,VERDE,76.0,83.0
2025-12-07 08:00,Portugal LigaPro,CD Feirense,Academico Viseu,1.35,OVER 1.5,0-0,0-0,12,ROJO,90.0,86.0
2025-12-07 08:00,Croatia Prva HNL,Varaždin,Lokomotiva Zagreb,1.3,OVER 1.5,0-2,4-2,8,VERDE,86.0,82.0
2025-12-07 09:15,Spain La Liga,Valencia CF,Sevilla FC,1.4,OVER 1.5,0-0,1-1,4,VERDE,86.0,74.0
2025-12-07 09:30,Romania Liga I,Metaloglobus,SSC Farul,1.28,OVER 1.5,2-0,2-1,16,VERDE,84.0,80.0
2025-12-07 11:00,Denmark Superliga,København,SønderjyskE,1.24,OVER 1.5,0-2,0-2,12,VERDE,75.0,84.0
2025-12-07 12:30,Romania Liga I,CS U Craiova,CFR Cluj,1.35,OVER 1.5,1-0,1-1,11,VERDE,84.0,84.0
2025-12-07 12:30,Italy Serie B,Sampdoria,Carrarese,1.4,OVER 1.5,2-2,3-2,8,VERDE,79.0,78.0
2025-12-07 13:00,,Atlético Mineiro,Vasco da Gama,1.3,OVER 1.5,2-0,5-0,7,VERDE,78.0,82.0
2025-12-07 13:00,,Ceará,Palmeiras,1.33,OVER 1.5,1-1,1-3,14,VERDE,72.0,78.0
2025-12-07 13:00,,Fluminense,Bahia,1.3,OVER 1.5,0-0,2-0,9,VERDE,70.0,79.0
2025-12-07 14:00,Spain La Liga,Real Madrid,Celta de Vigo,,Team Over 1.5,0-0,0-2,9,ROJO,,
2025-12-07 09:00,Bulgaria First League,Spartak Varna,Levski Sofia,,Team Over 1.5,0-2,1-3,11,VERDE,,
2025-12-08 08:00,Italy Serie B,Mantova,Reggiana,1.44,GOL HT,0-0,0-1,13,ROJO,79.0,74.0
2025-12-08 08:00,Italy Serie B,Frosinone,Juve Stabia,1.44,GOL HT,1-0,3-0,5,VERDE,77.0,72.0
2025-12-08 09:30,Portugal LigaPro,Farense,FC Vizela,1.44,GOL HT,1-0,2-0,4,VERDE,72.0,77.0
2025-12-08 08:00,Italy Serie B,Calcio Padova,Cesena,1.49,OVER 1.5,0-0,1-1,6,VERDE,73.0,73.0
2025-12-08 08:00,Italy Serie B,Mantova,Reggiana,1.28,OVER 1.5,0-0,0-1,13,ROJO,79.0,81.0
2025-12-08 08:00,Italy Serie B,Frosinone,Juve Stabia,1.34,OVER 1.5,1-0,3-0,5,VERDE,85.0,77.0
2025-12-08 09:30,Portugal LigaPro,Farense,FC Vizela,1.32,OVER 1.5,1-0,2-0,4,VERDE,82.0,84.0
2025-12-08 11:00,Italy Serie A,Udinese,Genoa,1.54,OVER 1.5,0-1,1-2,8,VERDE,92.0,75.0
2025-12-08 12:00,Poland Ekstraklasa,Korona Kielce,Wisła Płock,1.34,OVER 1.5,0-1,1-1,8,VERDE,71.0,80.0
2025-12-08 12:30,Romania Liga I,Botoşani,Rapid Bucureşti,1.34,OVER 1.5,0-0,0-0,8,ROJO,89.0,76.0
2025-12-08 09:30,Bulgaria First League,Ludogorets,Slavia Sofia,,Team Over 1.5,0-1,1-1,13,ROJO,,
2025-12-09 11:45,Europe UEFA Champions League,Bayern München,Sporting CP,1.84,BTTS YES,0-0,3-1,7,VERDE,68.0,68.0
2025-12-09 13:45,England EFL League Two,Cambridge United,Chesterfield,1.95,BTTS YES,1-0,1-1,6,VERDE,57.0,57.0
2025-12-09 13:45,England Championship,Preston North End,Coventry City,1.36,GOL HT,0-0,1-1,12,ROJO,80.0,76.0
2025-12-09 13:45,England EFL League Two,Barnet,Bristol Rovers,1.38,GOL HT,2-0,4-0,14,VERDE,84.0,74.0
2025-12-09 14:00,Europe UEFA Champions League,Inter Milan,Liverpool,1.27,GOL HT,0-0,0-1,9,ROJO,90.0,86.0
2025-12-09 14:00,Europe UEFA Champions League,Atalanta,Chelsea,1.35,GOL HT,0-1,2-1,7,VERDE,70.0,76.0
2025-12-09 13:45,England Championship,Preston North End,Coventry City,1.26,OVER 1.5,0-0,1-1,12,VERDE,75.0,83.0
2025-12-09 13:45,England Championship,Charlton Athletic,Middlesbrough,1.31,OVER 1.5,0-2,1-2,10,VERDE,72.0,80.0
2025-12-09 13:45,England EFL League Two,Cambridge United,Chesterfield,1.33,OVER 1.5,1-0,1-1,6,VERDE,73.0,77.0
2025-12-09 14:00,Europe UEFA Champions League,Union Saint-Gilloise,Olympique Marseille,1.26,OVER 1.5,1-2,2-3,5,VERDE,80.0,81.0
2025-12-09 11:45,Europe UEFA Champions League,Bayern München,Sporting CP,,Team Over 1.5,0-0,3-1,7,VERDE,,
2025-12-09 14:00,Europe UEFA Champions League,PSV,Atlético Madrid,,Team Over 1.5,1-1,2-3,14,VERDE,,
2025-12-10 14:00,Europe UEFA Champions League,Real Madrid,Manchester City,1.19,GOL HT,1-2,1-2,6,VERDE,70.0,87.0
2025-12-10 14:00,Europe UEFA Champions League,Athletic Club Bilbao,PSG,1.31,GOL HT,0-0,0-0,10,ROJO,80.0,81.0
2025-12-10 14:00,Europe UEFA Champions League,Club Brugge,Arsenal,1.29,GOL HT,0-1,0-3,6,VERDE,75.0,79.0
2025-12-10 13:00,Netherlands Eerste Divisie,Vitesse,RKC Waalwijk,1.2,OVER 1.5,1-0,2-1,10,VERDE,84.0,85.0
2025-12-10 14:00,Europe UEFA Champions League,Club Brugge,Arsenal,,Team Over 1.5,0-1,0-3,6,VERDE,,
2025-12-10 14:00,Europe UEFA Champions League,Athletic Club Bilbao,PSG,,Team Over 1.5,0-0,0-0,10,ROJO,,
2025-12-10 14:00,Europe UEFA Champions League,Borussia Dortmund,FK Bodo - Glimt,,Team Over 1.5,1-1,2-2,14,VERDE,,
2025-12-11 11:45,Europe UEFA Europa League,Ludogorets,PAOK,1.75,BTTS YES,1-1,3-3,6,VERDE,65.0,65.0
2025-12-11 14:00,Europe UEFA Europa League,Celta de Vigo,Bologna,1.71,BTTS YES,1-0,1-2,5,VERDE,70.0,70.0
2025-12-11 11:45,Europe UEFA Europa Conference League,Samsunspor,AEK Athens,1.4,GOL HT,1-0,1-2,11,VERDE,85.0,78.0
2025-12-11 11:45,Europe UEFA Europa League,Utrecht,Nottingham Forest,1.4,GOL HT,0-0,1-2,12,ROJO,72.0,74.0
2025-12-11 11:45,Europe UEFA Europa League,Ludogorets,PAOK,1.33,GOL HT,1-1,3-3,6,VERDE,72.0,77.0
2025-12-11 11:45,Europe UEFA Europa League,Midtjylland,KRC Genk,1.3,GOL HT,1-0,1-0,10,VERDE,77.0,78.0
2025-12-11 14:00,Europe UEFA Europa League,Celta de Vigo,Bologna,1.42,GOL HT,1-0,1-2,5,VERDE,80.0,81.0
2025-12-11 14:00,Europe UEFA Europa League,Celtic,Roma,1.4,GOL HT,0-3,0-3,8,VERDE,80.0,75.0
2025-12-11 14:00,Europe UEFA Europa Conference League,Rapid Wien,Omonia Nicosia,1.34,GOL HT,0-1,0-1,4,VERDE,90.0,77.0
2025-12-11 14:00,Europe UEFA Europa Conference League,Raków Częstochowa,Zrinjski,1.38,GOL HT,1-0,1-0,10,VERDE,75.0,74.0
2025-12-11 11:45,Europe UEFA Europa League,Ludogorets,PAOK,1.31,OVER 1.5,1-1,3-3,6,VERDE,78.0,84.0
2025-12-11 11:45,Europe UEFA Europa Conference League,Samsunspor,AEK Athens,1.29,OVER 1.5,1-0,1-2,11,VERDE,73.0,84.0
2025-12-11 11:45,Europe UEFA Europa Conference League,CS U Craiova,Sparta Praha,1.42,OVER 1.5,0-0,1-2,8,VERDE,70.0,79.0
2025-12-11 11:45,Europe UEFA Europa Conference League,Jagiellonia Białystok,Rayo Vallecano,1.21,OVER 1.5,1-1,1-2,10,VERDE,77.0,87.0
2025-12-11 11:45,Europe UEFA Europa League,Utrecht,Nottingham Forest,1.3,OVER 1.5,0-0,1-2,12,VERDE,77.0,80.0
2025-12-11 14:00,Europe UEFA Europa League,Celta de Vigo,Bologna,1.3,OVER 1.5,1-0,1-2,5,VERDE,80.0,88.0
2025-12-11 14:00,Europe UEFA Europa League,Celtic,Roma,1.3,OVER 1.5,0-3,0-3,8,VERDE,90.0,81.0
2025-12-11 11:45,Europe UEFA Europa Conference League,Jagiellonia Białystok,Rayo Vallecano,,Team Over 1.5,1-1,1-2,10,VERDE,,
2025-12-11 14:00,Europe UEFA Europa Conference League,Lech Poznań,Mainz 05,,Team Over 1.5,1-1,1-1,7,ROJO,,
2025-12-11 11:45,Europe UEFA Europa League,Midtjylland,KRC Genk,,Team Over 1.5,1-0,1-0,10,ROJO,,
2025-12-11 11:45,Europe UEFA Europa League,Dinamo Zagreb,Real Betis,,Team Over 1.5,0-3,1-3,9,VERDE,,
2025-12-11 11:45,Europe UEFA Europa League,Utrecht,Nottingham Forest,,Team Over 1.5,0-0,1-2,12,VERDE,,
2025-12-11 11:45,Europe UEFA Europa Conference League,Fiorentina,Dynamo Kyiv,,Team Over 1.5,1-0,2-1,10,VERDE,,
2025-12-11 14:00,Europe UEFA Europa Conference League,Aberdeen,Strasbourg,,Team Over 1.5,0-1,0-1,16,ROJO,,
2025-12-11 14:00,Europe UEFA Europa Conference League,Hamrun Spartans,Shakhtar Donetsk,,Team Over 1.5,0-0,0-2,7,VERDE,,
2025-12-11 14:00,Europe UEFA Europa Conference League,Rijeka,Celje,,Team Over 1.5,0-0,3-0,7,ROJO,,
2025-12-12 13:30,Germany Bundesliga,Union Berlin,RB Leipzig,1.38,GOL HT,0-0,3-1,10,ROJO,79.0,74.0
2025-12-12 12:00,Portugal LigaPro,UD Oliveirense,GD Chaves,1.36,OVER 1.5,1-1,2-3,11,VERDE,71.0,75.0
2025-12-12 13:00,France Ligue 2,Annecy,Le Mans,1.51,OVER 1.5,0-1,1-2,10,VERDE,79.0,71.0
2025-12-12 13:00,Netherlands Eerste Divisie,Dordrecht,Eindhoven,1.22,OVER 1.5,1-2,3-4,12,VERDE,73.0,83.0
2025-12-12 13:30,Italy Serie B,Palermo,Sampdoria,1.36,OVER 1.5,1-0,1-0,6,ROJO,73.0,82.0
2025-12-12 13:00,Netherlands Eerste Divisie,De Graafschap,Roda JC,,Team Over 1.5,2-0,2-3,11,VERDE,,
2025-12-12 13:00,Netherlands Eerste Divisie,Oss,ADO Den Haag,,Team Over 1.5,0-2,3-4,18,VERDE,,
2025-12-13 09:00,England Championship,Leicester City,Ipswich Town,1.93,BTTS YES,2-0,3-1,11,VERDE,61.0,61.0
2025-12-13 09:00,England Championship,Coventry City,Bristol City,1.31,GOL HT,0-0,1-0,9,ROJO,78.0,80.0
2025-12-13 09:00,England Championship,Portsmouth,Blackburn Rovers,1.4,GOL HT,0-1,2-1,13,VERDE,79.0,75.0
2025-12-13 09:00,England EFL League Two,Crawley Town,Oldham Athletic,1.34,GOL HT,1-0,2-2,11,VERDE,73.0,77.0
2025-12-13 09:15,Spain Segunda División,Real Valladolid,FC Andorra,1.36,GOL HT,0-0,0-1,14,ROJO,73.0,79.0
2025-12-13 11:00,Czech Republic First League,Slavia Praha,Jablonec,1.3,GOL HT,2-2,4-3,9,VERDE,78.0,81.0
2025-12-13 05:00,Portugal LigaPro,União de Leiria,Felgueiras 1932,1.22,OVER 1.5,2-1,2-3,10,VERDE,84.0,84.0
2025-12-13 06:30,England Championship,Oxford United,Preston North End,1.33,OVER 1.5,0-1,1-2,18,VERDE,73.0,78.0
2025-12-13 08:00,Italy Serie B,Venezia,Monza,1.38,OVER 1.5,0-0,2-0,8,VERDE,93.0,85.0
2025-12-13 08:00,Portugal LigaPro,Academico Viseu,Farense,1.27,OVER 1.5,1-0,3-0,10,VERDE,77.0,86.0
2025-12-13 08:00,Croatia Prva HNL,Osijek,Gorica,1.27,OVER 1.5,0-1,1-1,10,VERDE,79.0,83.0
2025-12-13 09:00,England Championship,Leicester City,Ipswich Town,1.34,OVER 1.5,2-0,3-1,11,VERDE,89.0,80.0
2025-12-13 09:00,England Championship,Birmingham City,Charlton Athletic,1.33,OVER 1.5,1-0,1-1,13,VERDE,74.0,81.0
